"id_cliente","sector","antiguedad","ratio_liquidez","endeudamiento","default","trimestre"
"CLI-00499","comercio",6.1,1.886,0.785,0,7
"CLI-00500","agro",13.6,1.693,0.589,0,7
"CLI-00501","manufactura",8.8,2.047,0.663,0,6
"CLI-00502","servicios",2.6,1.421,0.713,0,1
"CLI-00503","construccion",11.2,1.379,0.228,0,3
"CLI-00504","comercio",6.3,0.416,0.714,0,2
"CLI-00505","manufactura",3.4,1.485,0.807,0,2
"CLI-00506","comercio",3.2,2.444,0.681,0,4
"CLI-00507","manufactura",4,1.93,0.643,0,5
"CLI-00508","servicios",9.5,1.429,0.56,0,1
"CLI-00509","agro",8.9,2.029,0.385,0,1
"CLI-00510","servicios",2.5,1.672,0.658,0,4
"CLI-00511","comercio",5.3,1.51,0.538,0,6
"CLI-00512","manufactura",7.8,1.549,0.161,0,8
"CLI-00513","manufactura",29.8,0.968,0.248,0,7
"CLI-00514","manufactura",12.2,1.23,0.194,0,8
"CLI-00515","agro",7.9,1.03,0.794,0,4
"CLI-00516","manufactura",5.6,1.146,0.635,0,8
"CLI-00517","manufactura",0.5,1.877,0.806,0,1
"CLI-00518","construccion",4.2,1.875,0.642,0,6
"CLI-00519","comercio",6,2.212,0.622,0,7
"CLI-00520","servicios",3,1.979,0.141,0,4
"CLI-00521","servicios",4.2,1.423,0.631,0,1
"CLI-00522","agro",3,1.198,0.621,0,7
"CLI-00523","servicios",2.6,1.865,0.89,0,4
"CLI-00524","construccion",10.8,1.729,0.813,0,5
"CLI-00525","comercio",3.6,1.369,0.327,0,2
"CLI-00526","servicios",1.4,1.162,0.24,0,2
"CLI-00527","manufactura",3.7,1.359,0.585,0,1
"CLI-00528","comercio",7.5,1.309,0.359,0,2
"CLI-00529","manufactura",4.1,1.294,0.252,0,2
"CLI-00530","manufactura",1.5,1.922,0.687,0,7
"CLI-00531","comercio",10.2,1.533,0.559,0,1
"CLI-00532","comercio",14.7,1.389,0.733,0,8
"CLI-00533","manufactura",9.2,1.41,0.175,0,1
"CLI-00534","comercio",5.7,1.332,0.468,0,2
"CLI-00535","agro",7.4,1.422,0.216,1,5
"CLI-00536","comercio",5.7,2.434,0.671,0,8
"CLI-00537","construccion",0.6,2.096,0.516,0,4
"CLI-00538","manufactura",9.9,0.6,0.121,0,6
"CLI-00539","comercio",14.4,0.842,0.205,0,3
"CLI-00540","comercio",6.8,1.273,0.243,0,4
"CLI-00541","servicios",2.6,1.493,0.529,0,1
"CLI-00542","construccion",4.4,1.279,0.511,0,5
"CLI-00543","manufactura",5.8,2.399,0.746,0,4
"CLI-00544","construccion",6,1.077,0.269,0,4
"CLI-00545","manufactura",0.2,0.757,0.275,0,3
"CLI-00546","comercio",6.1,1.279,0.802,0,7
"CLI-00547","construccion",9.5,0.933,0.654,0,3
"CLI-00548","comercio",21.4,2.302,0.216,0,7
"CLI-00549","servicios",7.4,1.835,0.252,0,3
"CLI-00550","comercio",8.3,1.758,0.667,0,8
"CLI-00551","construccion",6,2.008,0.295,0,8
"CLI-00552","comercio",9.3,1.351,0.138,0,4
"CLI-00553","servicios",8.9,0.524,0.51,0,5
"CLI-00554","comercio",9,1.135,0.303,0,4
"CLI-00555","comercio",14.8,0.403,0.737,1,6
"CLI-00556","manufactura",11.1,2.486,0.338,0,6
"CLI-00557","manufactura",9.4,2.119,0.47,0,5
"CLI-00558","agro",7.4,1.692,0.509,0,8
"CLI-00559","comercio",3.8,2.389,0.477,0,4
"CLI-00560","manufactura",10.2,1.975,0.456,0,5
"CLI-00561","servicios",8.6,2.732,0.871,0,5
"CLI-00562","construccion",8,0.87,0.832,0,6
"CLI-00563","agro",13.6,0.708,0.489,0,4
"CLI-00564","manufactura",8.8,1.183,0.188,0,4
"CLI-00565","comercio",6.9,1.129,0.494,0,8
"CLI-00566","manufactura",1.9,0.309,0.825,0,7
"CLI-00567","manufactura",6,2.754,0.283,0,8
"CLI-00568","servicios",7.4,1.235,0.761,0,3
"CLI-00569","servicios",4.8,0.888,0.258,0,7
"CLI-00570","comercio",5.5,1.105,0.806,0,8
"CLI-00571","manufactura",5.3,1.328,0.372,0,4
"CLI-00572","servicios",1.7,1.757,0.871,0,3
"CLI-00573","comercio",2.2,0.722,0.683,1,4
"CLI-00574","comercio",9.1,0.556,0.326,0,6
"CLI-00575","comercio",1.7,2.405,0.459,0,3
"CLI-00576","comercio",2.3,2.483,0.574,0,5
"CLI-00577","agro",4.1,1.596,0.758,1,7
"CLI-00578","manufactura",2.2,2.002,0.832,0,7
"CLI-00579","manufactura",14.1,1.685,0.245,0,4
"CLI-00580","servicios",3.2,1.448,0.138,0,1
"CLI-00581","construccion",12.9,2.117,0.423,0,1
"CLI-00582","servicios",1.9,1.86,0.176,0,7
"CLI-00583","comercio",7.6,2.294,0.456,0,4
"CLI-00584","comercio",4.5,1.73,0.714,0,2
"CLI-00585","agro",2.4,1.163,0.514,0,3
"CLI-00586","comercio",8.4,1.283,0.106,0,4
"CLI-00587","servicios",1.5,2.043,0.707,0,5
"CLI-00588","construccion",0.4,1.398,0.466,0,5
"CLI-00589","manufactura",4.9,1.206,0.675,1,2
"CLI-00590","manufactura",5.2,1.833,0.479,0,1
"CLI-00591","construccion",2.5,1.749,0.454,0,6
"CLI-00592","comercio",6.8,1.729,0.287,0,3
"CLI-00593","manufactura",2.6,0.912,0.256,0,4
"CLI-00594","manufactura",4.1,1.347,0.487,0,3
"CLI-00595","manufactura",2.6,1.388,0.113,0,6
"CLI-00596","comercio",4.2,0.964,0.443,0,8
"CLI-00597","manufactura",1.6,1.384,0.468,0,3
"CLI-00598","agro",2.6,0.226,0.759,0,4
"CLI-00599","manufactura",16,1.798,0.756,0,2
"CLI-00600","agro",9.7,1.427,0.363,0,6
"CLI-00601","manufactura",4.1,0.943,0.664,0,2
"CLI-00602","servicios",1.2,2.086,0.602,0,6
"CLI-00603","manufactura",4.4,1.389,0.764,0,8
"CLI-00604","servicios",6.8,1.596,0.605,0,2
"CLI-00605","comercio",9.2,2.151,0.194,0,4
"CLI-00606","comercio",4.4,1.936,0.781,0,3
"CLI-00607","construccion",6.1,0.743,0.366,0,8
"CLI-00608","servicios",10.6,1.359,0.224,0,4
"CLI-00609","comercio",10.7,1.872,0.559,0,4
"CLI-00610","construccion",5.8,1.393,0.171,0,6
"CLI-00611","comercio",5,2.528,0.351,0,7
"CLI-00612","manufactura",13,0.583,0.392,0,7
"CLI-00613","comercio",2.7,1.241,0.608,0,3
"CLI-00614","servicios",21.8,0.374,0.427,0,3
"CLI-00615","agro",6.9,2.603,0.723,0,1
"CLI-00616","servicios",5,0.716,0.509,1,1
"CLI-00617","servicios",5.6,1.458,0.513,1,4
"CLI-00618","servicios",11.2,1.23,0.85,1,5
"CLI-00619","servicios",5.8,1.618,0.112,0,2
"CLI-00620","comercio",6.7,1.073,0.692,0,1
"CLI-00621","comercio",10.6,1.088,0.428,0,3
"CLI-00622","manufactura",2.5,0.402,0.324,0,5
"CLI-00623","manufactura",0.9,1.439,0.794,1,2
"CLI-00624","servicios",7.4,1.853,0.623,0,6
"CLI-00625","construccion",4.9,2.099,0.484,0,4
"CLI-00626","manufactura",3,1.508,0.116,0,7
"CLI-00627","agro",3.7,2.096,0.39,0,2
"CLI-00628","construccion",29.1,1.622,0.8,0,8
"CLI-00629","comercio",2.1,2.324,0.383,0,3
"CLI-00630","agro",11.5,1.709,0.495,0,5
"CLI-00631","comercio",5.9,1.969,0.677,0,4
"CLI-00632","manufactura",2.7,1.935,0.508,0,1
"CLI-00633","comercio",5.5,0.749,0.538,1,5
"CLI-00634","construccion",12.8,1.199,0.492,1,4
"CLI-00635","comercio",5.1,1.922,0.801,0,8
"CLI-00636","construccion",3.3,1.845,0.143,0,2
"CLI-00637","construccion",3.8,1.959,0.779,0,2
"CLI-00638","servicios",4.6,1.735,0.575,0,2
"CLI-00639","servicios",8.9,1.288,0.523,0,3
"CLI-00640","manufactura",1.9,2.313,0.669,0,5
"CLI-00641","agro",3.3,2.921,0.103,0,5
"CLI-00642","servicios",8.8,1.905,0.771,0,4
"CLI-00643","servicios",4.6,0.87,0.898,0,8
"CLI-00644","manufactura",3.7,2.189,0.419,0,6
"CLI-00645","manufactura",6.2,2.442,0.891,0,6
"CLI-00646","agro",2.9,1.872,0.383,0,3
"CLI-00647","agro",8.4,2.383,0.314,0,1
"CLI-00648","manufactura",1.5,2.106,0.612,0,8
"CLI-00649","construccion",17.9,1.305,0.57,1,3
"CLI-00650","manufactura",9.4,1.637,0.255,0,5
"CLI-00651","construccion",12,1.889,0.447,1,3
"CLI-00652","servicios",6.4,0.948,0.267,0,7
"CLI-00653","construccion",9.5,0.595,0.894,1,3
"CLI-00654","comercio",8.4,1.335,0.25,0,1
"CLI-00655","manufactura",2.1,1.303,0.124,0,4
"CLI-00656","comercio",11.5,1.301,0.776,0,5
"CLI-00657","servicios",5.1,1.672,0.173,0,6
"CLI-00658","manufactura",9.6,1.707,0.189,0,1
"CLI-00659","construccion",4.7,1.313,0.71,0,2
"CLI-00660","agro",1,1.787,0.13,0,6
"CLI-00661","comercio",13.7,1.629,0.435,0,4
"CLI-00662","manufactura",0.3,1.46,0.155,0,7
"CLI-00663","manufactura",2,2.025,0.612,0,6
"CLI-00664","comercio",10.4,2.403,0.664,0,3
"CLI-00665","comercio",15.3,1.073,0.74,0,6
"CLI-00666","manufactura",10.5,0.887,0.301,0,6
"CLI-00667","comercio",17.4,1.983,0.511,1,1
"CLI-00668","agro",8.1,1.262,0.347,0,7
"CLI-00669","comercio",8.8,1.554,0.807,0,6
"CLI-00670","construccion",2.6,1.445,0.126,1,2
"CLI-00671","servicios",7.9,2.206,0.489,1,8
"CLI-00672","construccion",12.9,0.97,0.451,0,2
"CLI-00673","manufactura",3.4,2.262,0.298,0,2
"CLI-00674","manufactura",6.9,2.422,0.172,0,7
"CLI-00675","comercio",2.9,1.554,0.802,0,8
"CLI-00676","construccion",6.5,1.229,0.796,0,1
"CLI-00677","servicios",8.7,2.304,0.134,0,1
"CLI-00678","agro",6,2.199,0.429,0,7
"CLI-00679","servicios",15.5,1.375,0.494,0,8
"CLI-00680","agro",4.6,1.586,0.187,0,1
"CLI-00681","servicios",4.6,1.763,0.103,1,1
"CLI-00682","comercio",4.9,1.153,0.237,0,4
"CLI-00683","servicios",4.5,1.038,0.35,0,6
"CLI-00684","manufactura",11.4,1.647,0.678,0,2
"CLI-00685","construccion",8.4,1.664,0.249,0,4
"CLI-00686","manufactura",0.5,0.1,0.573,0,8
"CLI-00687","comercio",5.3,1.3,0.733,0,3
"CLI-00688","manufactura",2.2,1.204,0.17,0,3
"CLI-00689","comercio",5.2,1.552,0.703,0,1
"CLI-00690","comercio",1.5,1.061,0.33,1,5
"CLI-00691","construccion",4.7,1.008,0.252,0,7
"CLI-00692","manufactura",3.5,1.382,0.666,0,2
"CLI-00693","servicios",10,1.151,0.644,0,8
"CLI-00694","manufactura",8.7,1.603,0.656,0,1
"CLI-00695","construccion",1.3,1.238,0.109,0,6
"CLI-00696","servicios",9.8,0.963,0.271,0,6
"CLI-00697","manufactura",1.5,0.78,0.498,0,3
"CLI-00698","comercio",3.5,1.467,0.836,0,4
"CLI-00699","servicios",5.3,1.417,0.2,0,4
"CLI-00700","manufactura",13.1,1.508,0.616,0,4
"CLI-00701","construccion",8,2.014,0.4,0,2
"CLI-00702","manufactura",5.1,0.895,0.532,0,3
"CLI-00703","comercio",6,1.848,0.364,0,3
"CLI-00704","comercio",7.8,1.513,0.564,1,6
"CLI-00705","agro",4.4,1.962,0.849,0,2
"CLI-00706","manufactura",3.2,1.17,0.591,0,7
"CLI-00707","comercio",2.3,1.794,0.267,0,1
"CLI-00708","servicios",9.3,1.605,0.497,0,5
"CLI-00709","comercio",18.7,2.307,0.216,0,7
"CLI-00710","manufactura",2.1,1.814,0.419,0,3
"CLI-00711","manufactura",6.7,1.445,0.526,0,3
"CLI-00712","servicios",3.3,2.064,0.398,0,7
"CLI-00713","servicios",4.3,2.271,0.594,0,1
"CLI-00714","comercio",8.5,2.035,0.597,0,7
"CLI-00715","comercio",3,1.883,0.157,0,3
"CLI-00716","agro",14.3,1.26,0.252,0,6
"CLI-00717","comercio",10,1.476,0.837,0,5
"CLI-00718","manufactura",4.9,0.932,0.818,0,8
"CLI-00719","comercio",6.7,1.502,0.159,0,1
"CLI-00720","servicios",6.8,2.039,0.86,0,6
"CLI-00721","construccion",8.4,1.448,0.53,0,2
"CLI-00722","manufactura",17.8,1.178,0.664,0,8
"CLI-00723","comercio",0.4,2.059,0.819,0,7
"CLI-00724","servicios",5.9,1.784,0.817,1,1
"CLI-00725","comercio",6.1,1.842,0.314,0,4
"CLI-00726","construccion",5.6,1.498,0.38,0,7
"CLI-00727","comercio",3.9,2.374,0.824,0,3
"CLI-00728","comercio",19.5,1.313,0.704,0,7
"CLI-00729","construccion",2.9,2.156,0.651,0,7
"CLI-00730","manufactura",3.5,1.195,0.774,0,5
"CLI-00731","construccion",0.9,1.693,0.149,0,2
"CLI-00732","manufactura",8.9,2.033,0.174,0,1
"CLI-00733","comercio",8.4,1.542,0.349,0,5
"CLI-00734","comercio",15.3,2.354,0.641,0,3
"CLI-00735","manufactura",13.6,0.587,0.587,0,7
"CLI-00736","construccion",7.8,0.892,0.896,1,5
"CLI-00737","servicios",5.7,1.682,0.54,0,7
"CLI-00738","comercio",6.4,1.279,0.32,0,3
"CLI-00739","servicios",2.1,0.59,0.505,0,5
"CLI-00740","servicios",15.6,1.582,0.434,0,2
"CLI-00741","servicios",5.7,1.775,0.733,0,1
"CLI-00742","comercio",11.9,1.069,0.205,1,6
"CLI-00743","servicios",2.4,2.011,0.366,0,7
"CLI-00744","comercio",5.6,1.867,0.342,0,8
"CLI-00745","servicios",1,2.729,0.425,0,5
"CLI-00746","manufactura",1.1,1.554,0.482,0,8
"CLI-00747","comercio",4.6,1.458,0.612,0,5
"CLI-00748","agro",3.3,1.279,0.279,0,4
"CLI-00749","agro",15.7,1.475,0.141,0,2
"CLI-00750","construccion",7.9,2.079,0.258,0,5
"CLI-00751","manufactura",2.1,1.431,0.71,1,2
"CLI-00752","comercio",8.2,1.223,0.322,0,7
"CLI-00753","servicios",5,1.658,0.125,0,3
"CLI-00754","servicios",18.1,1.643,0.795,0,7
"CLI-00755","comercio",6.2,1.461,0.85,0,5
"CLI-00756","manufactura",6.3,1.052,0.753,0,1
"CLI-00757","manufactura",14.2,1.421,0.518,0,8
"CLI-00758","comercio",12.1,1.246,0.649,0,6
"CLI-00759","construccion",4,0.954,0.267,1,8
"CLI-00760","comercio",4.4,1.606,0.416,0,3
"CLI-00761","servicios",21.3,2.35,0.795,0,5
"CLI-00762","manufactura",2.6,1.743,0.399,0,6
"CLI-00763","servicios",13.3,2.155,0.199,0,8
"CLI-00764","agro",5.5,0.906,0.843,0,1
"CLI-00765","comercio",9.3,1.526,0.761,0,8
"CLI-00766","comercio",7.1,1.975,0.795,0,1
"CLI-00767","servicios",1.9,1.267,0.524,0,2
"CLI-00768","construccion",5.7,1.438,0.818,1,6
"CLI-00769","manufactura",6.3,1.715,0.863,1,8
"CLI-00770","comercio",7.2,0.705,0.689,0,3
"CLI-00771","comercio",14.9,0.422,0.357,0,5
"CLI-00772","agro",8.1,1.439,0.528,0,2
"CLI-00773","servicios",14.7,0.769,0.7,0,6
"CLI-00774","comercio",4.5,1.498,0.787,1,5
"CLI-00775","manufactura",19.1,2.273,0.248,0,2
"CLI-00776","comercio",8.7,1.969,0.514,0,3
"CLI-00777","comercio",4.6,1.839,0.234,0,3
"CLI-00778","servicios",4.6,2.23,0.126,0,4
"CLI-00779","servicios",7.2,1.31,0.841,0,5
"CLI-00780","servicios",11.8,1.33,0.638,0,7
"CLI-00781","comercio",13.3,1.477,0.512,0,2
"CLI-00782","construccion",5.3,1.881,0.524,1,4
"CLI-00783","agro",5.3,2.274,0.296,0,1
"CLI-00784","comercio",7.1,1.381,0.385,0,1
"CLI-00785","comercio",2.9,3.331,0.735,0,7
"CLI-00786","construccion",3.8,2.677,0.853,0,7
"CLI-00787","servicios",1.7,1.261,0.528,0,7
"CLI-00788","manufactura",8.3,1.314,0.192,0,8
"CLI-00789","manufactura",7.1,1.527,0.445,0,2
"CLI-00790","manufactura",4.1,1.31,0.199,0,8
"CLI-00791","comercio",12,1.047,0.243,0,6
"CLI-00792","comercio",13.3,2.303,0.555,0,2
"CLI-00793","servicios",6.4,1.685,0.799,0,6
"CLI-00794","comercio",5.1,1.759,0.669,0,4
"CLI-00795","manufactura",4.5,0.839,0.569,0,6
"CLI-00796","servicios",7.8,0.817,0.707,0,5
"CLI-00797","agro",6.4,1.668,0.46,0,6
"CLI-00798","servicios",6.4,1.937,0.148,0,8
"CLI-00799","comercio",3.6,2.081,0.15,0,4
"CLI-00800","manufactura",17.6,1.371,0.482,0,8
"CLI-00801","agro",4.5,1.483,0.692,0,6
"CLI-00802","manufactura",5.3,0.863,0.511,0,4
"CLI-00803","servicios",1.7,0.871,0.874,0,1
"CLI-00804","construccion",3.3,0.922,0.374,0,4
"CLI-00805","comercio",1.5,1.46,0.525,0,7
"CLI-00806","agro",3.7,2.07,0.635,0,4
"CLI-00807","manufactura",6.9,2.233,0.716,0,8
"CLI-00808","agro",6.5,1.71,0.217,0,7
"CLI-00809","comercio",0.9,2.221,0.383,0,4
"CLI-00810","construccion",16.2,1.574,0.199,0,4
"CLI-00811","comercio",4.3,0.389,0.404,0,8
"CLI-00812","construccion",4.3,2.224,0.112,0,5
"CLI-00813","agro",0.7,1.365,0.489,0,7
"CLI-00814","servicios",7.4,1.256,0.411,0,3
"CLI-00815","agro",6.3,0.732,0.665,0,3
"CLI-00816","construccion",6.1,1.895,0.792,0,8
"CLI-00817","servicios",4.7,2.069,0.857,0,4
"CLI-00818","comercio",5,1.543,0.511,0,2
"CLI-00819","comercio",10.5,1.55,0.706,0,4
"CLI-00820","servicios",1.5,2.74,0.553,0,7
"CLI-00821","servicios",5.5,0.342,0.539,1,3
"CLI-00822","comercio",4.1,0.201,0.768,0,8
"CLI-00823","comercio",10.1,1.528,0.443,0,3
"CLI-00824","manufactura",5.9,1.366,0.413,0,5
"CLI-00825","servicios",10.1,1.375,0.765,0,1
"CLI-00826","agro",3.9,1.532,0.861,0,5
"CLI-00827","construccion",12.7,1.809,0.64,1,3
"CLI-00828","comercio",7.4,0.842,0.154,0,7
"CLI-00829","servicios",8.7,2.272,0.261,0,1
"CLI-00830","comercio",13.1,1.912,0.816,0,7
"CLI-00831","manufactura",4.2,0.916,0.719,1,1
"CLI-00832","manufactura",3.3,0.735,0.193,0,7
"CLI-00833","construccion",25,1.471,0.217,0,7
"CLI-00834","servicios",3.4,1.119,0.375,0,1
"CLI-00835","construccion",7,1.106,0.154,0,2
"CLI-00836","agro",11.9,0.797,0.783,0,3
"CLI-00837","servicios",3.5,1.837,0.562,0,5
"CLI-00838","construccion",9.7,1.209,0.352,0,5
"CLI-00839","manufactura",4.2,1.425,0.9,0,6
"CLI-00840","servicios",7.3,0.807,0.266,0,8
"CLI-00841","construccion",1.8,1.816,0.75,1,5
"CLI-00842","construccion",2.7,1.267,0.364,0,8
"CLI-00843","servicios",7.4,1.231,0.2,0,5
"CLI-00844","construccion",6.1,1.123,0.24,0,1
"CLI-00845","agro",3.2,1.346,0.218,0,8
"CLI-00846","servicios",10.6,0.578,0.28,0,1
"CLI-00847","comercio",4.7,1.674,0.692,0,2
"CLI-00848","servicios",4,2.253,0.253,0,5
"CLI-00849","manufactura",3.6,0.814,0.247,0,2
"CLI-00850","comercio",7.2,1.525,0.75,0,4
"CLI-00851","construccion",2.3,1.792,0.666,0,6
"CLI-00852","comercio",2.1,0.945,0.661,0,6
"CLI-00853","comercio",6.3,1.194,0.605,0,4
"CLI-00854","manufactura",1.7,2.343,0.287,1,6
"CLI-00855","comercio",10.8,1.225,0.386,0,7
"CLI-00856","servicios",6,1.8,0.66,0,1
"CLI-00857","servicios",7.5,1.638,0.175,0,7
"CLI-00858","servicios",6.6,1.108,0.676,0,6
"CLI-00859","comercio",11,1.696,0.848,0,1
"CLI-00860","manufactura",31.6,2.053,0.74,0,6
"CLI-00861","manufactura",2.8,1.842,0.141,0,8
"CLI-00862","manufactura",2.9,1.068,0.478,0,6
"CLI-00863","construccion",3.5,1.311,0.358,0,4
"CLI-00864","manufactura",0.6,0.924,0.846,0,2
"CLI-00865","agro",2.1,1.411,0.16,0,6
"CLI-00866","servicios",3.6,1.109,0.495,0,1
"CLI-00867","manufactura",3.3,1.769,0.505,0,1
"CLI-00868","comercio",3.5,1.084,0.89,0,4
"CLI-00869","construccion",4,1.553,0.302,0,8
"CLI-00870","servicios",3,1.402,0.169,0,4
"CLI-00871","comercio",6.2,1.048,0.611,0,4
"CLI-00872","agro",5.8,1.044,0.287,1,1
"CLI-00873","manufactura",6.2,2.111,0.506,0,3
"CLI-00874","comercio",9.9,1.727,0.791,0,1
"CLI-00875","comercio",7.4,0.847,0.644,0,5
"CLI-00876","servicios",0.6,1.331,0.562,0,8
"CLI-00877","comercio",1.2,0.98,0.825,0,3
"CLI-00878","servicios",7.2,0.896,0.218,0,1
"CLI-00879","agro",3.6,0.885,0.876,0,3
"CLI-00880","comercio",10.2,2.27,0.559,0,7
"CLI-00881","construccion",8.5,1.735,0.169,0,4
"CLI-00882","servicios",1.5,0.837,0.189,1,8
"CLI-00883","servicios",16.8,1.968,0.633,0,6
"CLI-00884","comercio",10,1.272,0.677,0,1
"CLI-00885","comercio",7,2.378,0.371,0,8
"CLI-00886","manufactura",20.6,1.697,0.515,0,7
"CLI-00887","comercio",4.3,2.071,0.892,0,5
"CLI-00888","comercio",5.7,1.628,0.562,0,5
"CLI-00889","servicios",3.7,1.31,0.428,0,3
"CLI-00890","comercio",0.8,1.354,0.321,0,8
"CLI-00891","comercio",6.3,2.098,0.185,0,7
"CLI-00892","comercio",10.6,0.656,0.378,0,1
"CLI-00893","agro",10.3,0.958,0.835,0,5
"CLI-00894","manufactura",4.5,0.997,0.32,0,6
"CLI-00895","manufactura",0.6,1.324,0.815,0,6
"CLI-00896","servicios",3.4,2.044,0.792,0,3
"CLI-00897","servicios",1.2,2.207,0.738,0,1
"CLI-00898","manufactura",3.1,1.257,0.189,0,1
"CLI-00899","comercio",5.2,1.649,0.789,1,4
"CLI-00900","manufactura",5.8,1.16,0.71,0,8
"CLI-00901","servicios",4.8,2.035,0.408,0,4
"CLI-00902","servicios",11,1.909,0.255,0,4
"CLI-00903","construccion",4.1,2.332,0.136,0,2
"CLI-00904","comercio",2.5,0.794,0.837,0,4
"CLI-00905","servicios",0.6,0.752,0.771,1,1
"CLI-00906","comercio",3.7,1.52,0.374,0,8
"CLI-00907","manufactura",6.5,1.391,0.242,0,1
"CLI-00908","agro",0.5,1.783,0.191,0,6
"CLI-00909","agro",7.5,1.568,0.87,0,7
"CLI-00910","manufactura",7.8,1.081,0.279,0,2
"CLI-00911","construccion",10.9,2.055,0.16,0,1
"CLI-00912","comercio",8.6,1.048,0.74,0,7
"CLI-00913","servicios",9.4,1.627,0.344,0,6
"CLI-00914","comercio",10,1.696,0.454,0,3
"CLI-00915","construccion",3.5,1.125,0.352,0,6
"CLI-00916","agro",11.2,1.325,0.611,1,5
"CLI-00917","servicios",3.6,1.831,0.853,0,3
"CLI-00918","comercio",6.4,2.04,0.537,0,5
"CLI-00919","agro",1.5,1.906,0.365,0,2
"CLI-00920","manufactura",14.2,0.603,0.158,0,6
"CLI-00921","servicios",2.1,1.971,0.732,0,8
"CLI-00922","construccion",4.6,1.712,0.283,0,6
"CLI-00923","construccion",1.9,0.1,0.543,0,4
"CLI-00924","construccion",4.6,1.442,0.805,0,3
"CLI-00925","construccion",1.1,1.782,0.141,0,2
"CLI-00926","manufactura",7.5,2.014,0.254,0,6
"CLI-00927","construccion",7.9,1.533,0.694,0,6
"CLI-00928","agro",3,1.572,0.328,0,2
"CLI-00929","construccion",7.3,1.945,0.274,0,7
"CLI-00930","manufactura",12.2,1.095,0.127,0,1
"CLI-00931","servicios",8.1,1.042,0.898,1,8
"CLI-00932","manufactura",17,1.956,0.518,0,4
"CLI-00933","comercio",8.4,1.731,0.296,0,4
"CLI-00934","comercio",9.2,1.365,0.174,0,4
"CLI-00935","comercio",3.3,0.413,0.337,0,5
"CLI-00936","construccion",10.2,1.57,0.365,0,1
"CLI-00937","agro",5.8,2.374,0.752,0,4
"CLI-00938","agro",4.4,1.456,0.675,0,1
"CLI-00939","agro",4.9,1.382,0.433,0,2
"CLI-00940","comercio",11,1.736,0.831,0,1
"CLI-00941","manufactura",8.6,1.363,0.386,0,8
"CLI-00942","construccion",9.7,1.603,0.349,0,3
"CLI-00943","comercio",5.8,1.655,0.204,0,7
"CLI-00944","agro",5.5,1.036,0.727,0,4
"CLI-00945","comercio",14.5,1.413,0.628,0,1
"CLI-00946","construccion",4.4,1.728,0.405,0,5
"CLI-00947","comercio",9,1.853,0.309,0,1
"CLI-00948","comercio",10.6,2.239,0.727,0,8
"CLI-00949","comercio",3.5,2.147,0.286,0,5
"CLI-00950","manufactura",12.4,1.357,0.511,0,4
"CLI-00951","construccion",1.5,0.873,0.448,0,7
"CLI-00952","comercio",6.4,1.633,0.341,0,8
"CLI-00953","manufactura",9,2.069,0.621,0,7
"CLI-00954","comercio",7.4,2.059,0.133,0,6
"CLI-00955","agro",6.5,0.903,0.401,0,7
"CLI-00956","comercio",1.1,1.759,0.619,0,1
"CLI-00957","comercio",2.4,0.751,0.33,0,7
"CLI-00958","agro",2.1,1.441,0.773,0,6
"CLI-00959","comercio",6.7,2.23,0.39,0,6
"CLI-00960","comercio",5.2,1.553,0.155,0,8
"CLI-00961","servicios",7.2,1.797,0.418,0,2
"CLI-00962","servicios",3.9,1.913,0.339,0,3
"CLI-00963","construccion",0.9,2.789,0.118,0,2
"CLI-00964","comercio",6.2,1.071,0.306,0,4
"CLI-00965","manufactura",10.7,1.101,0.684,0,2
"CLI-00966","construccion",3.1,0.953,0.69,1,2
"CLI-00967","comercio",3.9,2.114,0.439,0,3
"CLI-00968","comercio",2.5,1.576,0.699,0,2
"CLI-00969","agro",7.3,1.125,0.186,0,1
"CLI-00970","manufactura",3,1.642,0.619,0,2
"CLI-00971","agro",6.5,1.673,0.107,0,4
"CLI-00972","construccion",13.6,1.699,0.474,1,1
"CLI-00973","construccion",2.2,1.442,0.457,0,4
"CLI-00974","agro",3.7,0.855,0.738,1,3
"CLI-00975","construccion",0.9,1.216,0.876,0,3
"CLI-00976","comercio",3,0.853,0.428,1,1
"CLI-00977","comercio",3.9,1.57,0.392,0,4
"CLI-00978","construccion",2.5,0.818,0.262,1,2
"CLI-00979","comercio",3.3,1.641,0.579,0,8
"CLI-00980","comercio",9,2.388,0.872,0,7
"CLI-00981","agro",0.1,0.714,0.337,0,2
"CLI-00982","manufactura",0.7,0.802,0.548,0,2
"CLI-00983","servicios",14.5,1.569,0.589,0,7
"CLI-00984","comercio",4.4,2.623,0.506,0,1
"CLI-00985","comercio",4.8,1.29,0.348,0,1
"CLI-00986","comercio",8.3,1.336,0.764,0,4
"CLI-00987","agro",20.2,1.575,0.486,0,7
"CLI-00988","servicios",6.1,1.631,0.339,0,1
"CLI-00989","comercio",7.9,1.006,0.487,0,4
"CLI-00990","manufactura",7.8,1.826,0.157,0,6
"CLI-00991","manufactura",1.9,1.071,0.299,0,2
"CLI-00992","servicios",2.1,1.6,0.334,0,7
"CLI-00993","servicios",6.5,1.309,0.143,0,4
"CLI-00994","comercio",3.5,2.03,0.194,0,2
"CLI-00995","comercio",6.7,1.224,0.801,0,4
"CLI-00996","manufactura",11.7,1.397,0.255,0,7
"CLI-00997","manufactura",13.7,1.696,0.894,0,3
